M,t,noise_energy,sqrt_t_times_energy,energy_over_q2,scaled_by_min_profile
31,0.003761917383324174,0.4880357396962876,0.029933414124176546,0.9959913055026279,0.17888531924084133
31,0.004519162492646119,0.4770678235254411,0.032070749131496316,0.9736078031131452,0.17486512353376124
31,0.005428835233189814,0.46438525951508647,0.03421619847115738,0.9477250194185439,0.1702164383509987
31,0.006521618117755736,0.4498284000680173,0.03632658341465271,0.9180171429959537,0.1648807462335453
31,0.007834369813586999,0.4332665314706961,0.038349276634839835,0.884217411164686,0.15881013518956646
31,0.00941136835487768,0.41461820554574363,0.04022302728466069,0.8461596031545789,0.15197475108743416
31,0.01130580460442153,0.39387554752501736,0.041880297453738766,0.8038276480102396,0.1443717074983512
31,0.013581576337633463,0.3711307062329747,0.04325158004807158,0.7574096045570914,0.13603478078445655
31,0.016315443461920966,0.3466007898408762,0.04427198446169483,0.7073485506956658,0.12704355008589657
31,0.019599617065181024,0.32064546800794536,0.044889926996419534,0.6543785061386641,0.11752984923486455
31,0.02354486961989732,0.2937695142642558,0.04507698601699312,0.5995296209474609,0.10767869864426659
31,0.028284271247461905,0.26660203347182715,0.04483693884916206,0.5440857825955657,0.09772069131155077
31,0.03397767806384183,0.23984651227839526,0.0442109916409016,0.48948267811917406,0.09022651355286042
31,0.04081712399479533,0.2142024948531729,0.043275861798012884,0.4371479486799447,0.08831808530206713
31,0.04903329792212767,0.19027048292603183,0.042132475086026654,0.3883071080123099,0.08598464303270748
31,0.05890332462979752,0.1684633840666174,0.040886075331616624,0.34380282462574985,0.08344097006452374
31,0.070760111994783,0.14895377678824778,0.039622855919385344,0.30398729956785264,0.08086297126405173
31,0.08500357969576029,0.13167900593800502,0.03839150584498401,0.26873266517960215,0.07835001192853881
31,0.10211414817469754,0.11640406906170044,0.03719727464728161,0.23755932461571522,0.07591280540261554
31,0.1226689428229359,0.10281549330039817,0.036010228305105,0.2098275373477514,0.07349026184715307
31,0.1473612599456155,0.09060630282219982,0.03478164134452385,0.1849108220861221,0.07098294151943645
31,0.17702395107540686,0.07952389695677235,0.03345905484223633,0.1622936672587191,0.06828378539231905
31,0.21265751436919905,0.06937949089288017,0.03199421620935546,0.14159079774057182,0.065294318794603
31,0.25546384058743793,0.06003705429017651,0.030344787042015868,0.12252460059219697,0.06192813682044055
31,0.3068867518802159,0.051399847305474734,0.028474158561828063,0.10489764756219334,0.05811052767720013
31,0.36866070072000806,0.043402311638708786,0.026352770694487333,0.08857614620144652,0.05378116468262722
31,0.44286927155596484,0.03600721883284107,0.023962236601797915,0.0734841200670226,0.04890252367713861
31,0.5320154584024153,0.029205744850165218,0.021302492079510287,0.059603560918704536,0.04347447363165365
31,0.6391060887667952,0.023018079096887054,0.018401598709167886,0.04697567162630012,0.03755428307993446
31,0.767753241466594,0.017491788258460456,0.01532657239174305,0.035697527058082566,0.03127871916682255
31,0.9222960790748258,0.012694390457446471,0.01219121620982236,0.025906919300911168,0.02488003308127013
31,1.1079472043021112,0.008696756218169626,0.009154124808675113,0.0177484820778972,0.018681887364643088
31,1.3309684767956977,0.005546931876318052,0.00639936257316974,0.011320269135342963,0.013059923618713758
31,1.598882220511312,0.003240585905217464,0.0040976208912454565,0.006613440622892785,0.008362491614786648
31,1.9207249455086755,0.0017013856201969354,0.002357954097124409,0.0034722155514223174,0.004812151218621242
31,2.3073521419980083,0.0007850569853395129,0.0011924992717106365,0.0016021571129377816,0.002433671983082932
31,2.771804427089819,0.00031007335710610007,0.0005162329763982952,0.0006328027696042859,0.0010535366865271332
31,3.329747394076502,0.00010158703348543344,0.00018537190891749185,0.00020732047650088458,0.000378310018198963
31,4.0,2.658666835158292e-05,5.317333670316584e-05,5.425850683996515e-05,0.0001085170136799303
63,0.0002,0.769002951442703,0.010875344034352093,1.5693937784544962,0.19772503080583786
63,0.00024025846567915957,0.7670376194080832,0.011889292566541016,1.5653828967511905,0.1972197072094071
63,0.0002886206516525192,0.7646865719250439,0.012991137080305975,1.5605848406633551,0.19661520896250462
63,0.0003467177746467672,0.7618764765595685,0.014186413616806729,1.5548499521623849,0.19589268092582598
63,0.00041650940280162405,0.758521095835537,0.01548032481069357,1.548002236399055,0.19502994983255803
63,0.0005003495502903061,0.7545194738510399,0.016877464770024168,1.5398356609204897,0.19400105803354267
63,0.0006010660762800316,0.749754078250225,0.01838145754358674,1.5301103637759697,0.19277578576351379
63,0.0007220560662941654,0.7440890115205722,0.019994490944757557,1.5185490031032087,0.1913191912321972
63,0.0008674004131108275,0.7373684700226741,0.021716727180761345,1.5048336122911719,0.1895912144120682
63,0.001042001461917383,0.7294157164126966,0.023545573920117534,1.4886035028830547,0.18754641282896112
63,0.001251748362378558,0.7200329448625855,0.02547480590920498,1.469454989515481,0.18513392690766609
63,0.0015037157048073632,0.7090025598339963,0.027493540559056135,1.446943999661217,0.18229780876860513
63,0.0018064021402733653,0.6960905534574787,0.02958509441814432,1.4205929662397527,0.17897789061514102
63,0.0021700170331081414,0.6810528382255033,0.03172578512920509,1.3899037514806192,0.17511141298730673
63,0.0026068248143610202,0.6636455366549863,0.03388379933273196,1.354378646234666,0.1706356704263454
63,0.003131558650963693,0.6436402854299077,0.03601832344826797,1.313551602918179,0.16549194645579843
63,0.003761917383324174,0.6208454772113657,0.03807922917295967,1.2670315861456445,0.15963097524786127
63,0.004519162492646119,0.5951338929730061,0.04000770716445147,1.2145589652510331,0.15302004641324635
63,0.005428835233189814,0.5664761895481305,0.0417383225105019,1.1560738562206747,0.14565161527539747
63,0.006521618117755736,0.5349780245696332,0.04320297213692235,1.0917918868768026,0.13755284838638016
63,0.007834369813586999,0.5009161511712873,0.0443370781189135,1.0222778595332396,0.12879490414916056
63,0.00941136835487768,0.4647658033848919,0.045087956439156564,0.948501639561004,0.11949997411502095
63,0.01130580460442153,0.42720884443305884,0.045424585486836075,0.8718547845572631,0.10984337806191975
63,0.013581576337633463,0.38911091510000645,0.04534699395490496,0.7941039083673602,0.10004768841354565
63,0.016315443461920966,0.3514583111298008,0.04489244498379679,0.7172618594485731,0.09161723466080977
63,0.019599617065181024,0.3152535957153586,0.04413507224954927,0.643374685133385,0.0900715760194883
63,0.02354486961989732,0.28138335438375534,0.04317641182999521,0.5742517436403171,0.08811512618366371
63,0.028284271247461905,0.2504883889408375,0.042126957664605696,0.5112007937568114,0.08597338298899124
63,0.03397767806384183,0.2228773017537897,0.04108305111956839,0.4548516362322239,0.08384296146850692
63,0.04081712399479533,0.19851799356109565,0.04010708306482422,0.405138762369583,0.08185118992821269
63,0.04903329792212767,0.17711361137971576,0.03921908802719046,0.361456349754522,0.08003895515753157
63,0.05890332462979752,0.15823109231800445,0.038402697394227976,0.32292059656735606,0.07837285182495506
63,0.070760111994783,0.14142672764738723,0.037620602669839125,0.2886259747905862,0.07677674014252883
63,0.08500357969576029,0.12632356819431376,0.036830107974649466,0.25780320039655874,0.07516348566254995
63,0.10211414817469754,0.11263178801657397,0.03599183075504167,0.22986079187055916,0.07345271582661565
63,0.1226689428229359,0.10013427159587632,0.03507115382695861,0.20435565631811495,0.07157378332032371
63,0.1473612599456155,0.0886645060879144,0.034036230976015415,0.1809479716079886,0.06946169586941922
63,0.17702395107540686,0.07809039850533814,0.03285592163148749,0.15936816021497582,0.06705290128875
63,0.21265751436919905,0.0683053222186686,0.031498865431110294,0.13939861677279308,0.06428339883900061
63,0.25546384058743793,0.05922384642363364,0.02993376388601847,0.12086499270129315,0.06108931405309893
63,0.3068867518802159,0.05078023785405513,0.028130911282098305,0.10363313847766355,0.05741002302469042
63,0.36866070072000806,0.04292883887658316,0.026065290174227342,0.08760987525833298,0.053194469743321114
63,0.44286927155596484,0.03564580993441675,0.023721724676279803,0.07274655088656481,0.04841168301281594
63,0.5320154584024153,0.02893158605131246,0.021102522324551072,0.059044053165943806,0.043066372090920554
63,0.6391060887667952,0.02281280305213792,0.018237492600044744,0.046556740922730454,0.037219372653152547
63,0.767753241466594,0.017341443592213575,0.015194838095803883,0.035390701208599135,0.031009873664905888
63,0.9222960790748258,0.012587920047797007,0.012088966023936233,0.02568963275060614,0.024671359232522932
63,1.1079472043021112,0.008624879853231933,0.0090784684146211,0.017601795618840683,0.018527486560451226
63,1.3309684767956977,0.005501443838067275,0.006346884111923132,0.011227436404218931,0.012952824718210475
63,1.598882220511312,0.0032141050794530016,0.004064136704112756,0.006559398121332657,0.008294156539005627
63,1.9207249455086755,0.0016875010358948118,0.0023387114210059448,0.003443879665091453,0.0047728804510325405
63,2.3073521419980083,0.0007786528855327129,0.0011827714627767813,0.0015890875214953327,0.0024138193117893498
63,2.771804427089819,0.00030754416506373144,0.0005120221910921971,0.0006276411531912887,0.001044943247126933
63,3.329747394076502,0.0001007584255135773,0.0001838598986124636,0.00020562943982362715,0.00037522428288257886
63,4.0,2.6369811066715198e-05,5.2739622133430396e-05,5.381594095248e-05,0.00010763188190496
