L,N,sample,delta,model,sharp_tail,abel_tail,richardson_tail_k1,m_eff,scaled_cutoff_tau,clean_mode_count,born_mean_formula,born_variance_formula
8,64,13,1.25,exact,0.0015845732154524442,0.002394047391981384,0.0023070940764687753,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,13,1.25,born,0.0015408027808224646,0.002104051077176224,0.0021043882733652185,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,14,0.625,exact,0.00215853740694698,0.001122506701930764,0.0011655399468322543,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,14,0.625,born,0.00223501133775941,0.0011150108221292733,0.0011402409295477418,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,14,1.25,exact,0.003076100845685363,0.0029795447199597613,0.002669454493916929,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,14,1.25,born,0.0031602863048789307,0.0028317035438983067,0.00258789179709461,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,15,0.625,exact,0.002078448008232219,0.001473152342651749,0.001530262534800321,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,15,0.625,born,0.001730649136528481,0.0011929826759148716,0.0013092646082723824,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,15,1.25,exact,0.0053584405690021,0.00391978159866293,0.0035525722007764063,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,15,1.25,born,0.004557353848701805,0.003322414244186217,0.0031120991354184548,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,16,0.625,exact,0.003929958785751071,0.0019321411244290234,0.0017530608343956234,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,16,0.625,born,0.004918594421175258,0.0020990757797188222,0.001828207830935121,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,16,1.25,exact,0.005260076353307611,0.004292307232729211,0.003721516105545038,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,16,1.25,born,0.005531261549801452,0.00436373913068621,0.003796542418483996,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,17,0.625,exact,0.00022720703781201575,0.0008293264159903427,0.0011359799218392645,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,17,0.625,born,1.1870813451090744e-05,0.0005787243947050586,0.0009412656124110995,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,17,1.25,exact,0.0030497160973150268,0.003306696574425998,0.0029589671435570164,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,17,1.25,born,0.0019760420340081608,0.0026859606912505904,0.0025536416952310435,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,18,0.625,exact,0.0006422354793033009,0.0006562834965265701,0.0010504750445073912,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,18,0.625,born,0.00014311874813441902,0.0003969621685191424,0.0008646076809859325,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,18,1.25,exact,0.0010518351537838987,0.0029031975736836984,0.0027876370689375205,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,18,1.25,born,0.0009357794167228852,0.0023157598157164854,0.0024353169584314864,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,19,0.625,exact,0.007098653581838653,0.0040828676417081974,0.0033105823119983333,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,19,0.625,born,0.006387135325710578,0.003340503829929862,0.0027254271739258346,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,19,1.25,exact,0.010600014762156032,0.00840194249728317,0.006597995351892784,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,19,1.25,born,0.010799243321433376,0.007071297183892849,0.005568514957680842,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,20,0.625,exact,0.002967822214484634,0.0016415946707201206,0.0016272436638576743,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,20,0.625,born,0.002818960025499652,0.001349856430467812,0.0013542453963307766,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,20,1.25,exact,0.004013096302278364,0.004185854303099064,0.0036389641898948192,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,20,1.25,born,0.0033436788989535064,0.0033525799723452122,0.0030435542050629674,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,21,0.625,exact,0.005727715802143112,0.0033104695365228742,0.0027311192470338918,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,21,0.625,born,0.005660356808442184,0.003047739524360078,0.0025447099696686423,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,21,1.25,exact,0.01004852651517912,0.0073882408006359064,0.005665024219953026,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,21,1.25,born,0.009376768450195088,0.0067527955139910865,0.00527418587140702,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,22,0.625,exact,0.0008512061225022783,0.0010067577794142407,0.0012595742667960799,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,22,0.625,born,0.000489639574153873,0.0007175799913578107,0.0009997964119440258,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,22,1.25,exact,0.0031430225655020173,0.0036343481306161727,0.003141944562770418,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,22,1.25,born,0.002679719516526278,0.00280460061508304,0.0025849695476863354,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,23,0.625,exact,0.00015121898627337325,0.0009632014045165622,0.0014047852749532641,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,23,0.625,born,0.001024413096082824,0.0012614150972546975,0.001601895144400426,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,23,1.25,exact,0.003372016196024155,0.004152264477669318,0.0036964005326503677,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,23,1.25,born,0.004616157355568795,0.004543464934122148,0.00403173508982578,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,24,0.625,exact,0.00021702745028756955,0.0005718808694915347,0.0008389490559677158,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,24,0.625,born,0.00026927748514729317,0.0005253995491076828,0.0007795039193768617,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,24,1.25,exact,0.0011809298288093482,0.0024645380233956336,0.002192205318553089,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,24,1.25,born,0.0010812770136284346,0.0023128816426533816,0.00205367773077024,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,25,0.625,exact,0.0037777942898039843,0.0018710321889770277,0.001542585767063233,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,25,0.625,born,0.0035746599443599175,0.001657759034289943,0.001388589745148048,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,25,1.25,exact,0.005465276497938016,0.003688521975442485,0.0031343120141022435,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,25,1.25,born,0.004938626244713902,0.0033213618304641073,0.00286071150720611,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,26,0.625,exact,0.0014035496174711166,0.0013097137405472638,0.0017119669240823622,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,26,0.625,born,0.00046957918532297444,0.0009215580437637945,0.0014809564440281702,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,26,1.25,exact,0.0026323079807381525,0.004894385435905379,0.004277797809107847,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,26,1.25,born,0.0019422991177167007,0.004448041993325168,0.003943500725359995,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,27,0.625,exact,0.001111928239219371,0.0016444282499418544,0.0016519860221523052,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,27,0.625,born,0.0012613046753533203,0.0015124842999642636,0.0015373371297466235,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,27,1.25,exact,0.006973169353960204,0.0048579481208877225,0.003893835431459594,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,27,1.25,born,0.006552957015410499,0.004401134126233821,0.0036221155924880304,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,28,0.625,exact,0.002313735004969962,0.001483433909210964,0.001599540759154835,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,28,0.625,born,0.00223663903501572,0.001421227171459882,0.0016212653491169756,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,28,1.25,exact,0.00375470702060825,0.004378667616324169,0.0037304942580220746,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,28,1.25,born,0.0033990581665650768,0.0045201338718062175,0.0038630733617088246,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,29,0.625,exact,0.008708777527984034,0.004133732613515252,0.003239487135980807,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,29,0.625,born,0.006428584882382224,0.003017355376392553,0.002502872279994181,40.0,40.0,4,0.002109375,4.366035461425789e-06
