sample,components,mean_threshold,variance_threshold,variance_to_mean_squared
197,8,1.1858721728712525,7.150820241176462,5.084872928555612
198,7,1.5821875596250872,5.9418838501281765,2.3736037926630233
199,6,2.351827608163972,17.516163251196446,3.166853809760714
200,2,0.3694065485695693,0.14498435358158218,1.0624584539234794
201,3,1.8894418133350828,9.63569966842616,2.6990828211335662
202,3,4.015526354242662,17.023474566770293,1.0557552387292464
203,3,1.077523600005295,1.665727504784117,1.4346645763514805
204,5,0.6568021206496669,0.6973250540541631,1.6164645193256015
205,5,2.2554908501768987,9.441373129986893,1.8558933786979932
206,8,1.6978709441950326,6.0780470186347975,2.1084082302194784
207,6,1.6700939446319714,6.600966519056203,2.3666047246600854
208,4,4.054298355475302,17.48585582984562,1.0637889697286824
209,5,1.6010143982843534,3.9435765493924997,1.5385081461660381
210,3,0.6258990391028944,1.4219929361859638,3.6298515945716137
211,8,1.9505182646538546,15.53883543434337,4.084307430326559
212,3,1.4936535108701763,2.491796191829516,1.116896139196021
213,5,1.5962070397469719,7.482415179088388,2.936725529692689
214,3,0.6869671302418052,0.9777355757840791,2.071807984652835
215,8,1.689383682022992,9.33452988784041,3.270663472453488
216,5,0.9238119142887966,3.2811565426691507,3.844676763710643
217,7,1.93791471109017,10.004948580754895,2.6640694472293336
218,6,1.5383780878098299,13.130138094439328,5.548085217301768
219,3,3.3368731248098165,15.932025197868994,1.4308417254257513
220,5,1.2001340431665324,2.7376521099109605,1.9007226433633566
221,6,4.257345588629848,28.62029327352093,1.5790514072827473
222,5,4.85486080596357,30.564401943903604,1.2967681548436019
223,8,2.610151411059403,12.61788341178747,1.8520602405108948
224,3,2.1879195642716063,16.04359596601042,3.3514983730724106
225,7,3.2384221413667724,22.90901047803109,2.18443642948401
226,2,2.5021936918461765,7.355032259159115,1.1747426382766872
227,3,1.0778800680922909,5.54053328301237,4.768817316768702
228,2,2.229797769675085,4.972368208872871,1.0000744399370065
229,4,1.8487361759581533,6.355547581378055,1.8595295978459034
230,4,1.8644716764933793,6.412916397767791,1.8447775194348768
231,3,0.5534676547526552,0.49264156113817287,1.6082240675221446
232,7,2.238277874862823,10.94480420611972,2.1846405637250954
233,2,1.0964882662639825,2.074754168436084,1.7256736537254194
234,2,1.5868824754096849,2.553835914047171,1.014152958473265
235,7,0.9147270993012586,2.1528713676309397,2.572971589862039
236,5,2.1383427780504416,14.302014416237009,3.1278258391611398
237,3,4.931777742409548,36.79844138776188,1.5129425314396399
238,5,0.5318666246501681,1.6014125150362846,5.661059779712491
239,2,4.368348781161261,23.073122804486975,1.209126570409308
240,3,4.33042987359721,26.0219855116316,1.387645113116918
241,6,1.1114655802922444,3.7572492244721216,3.041430993883182
242,7,2.010328050603728,16.844029107246516,4.167850362636255
243,3,0.779416911680862,0.6486904122500122,1.0678194555559932
244,7,0.9336167995030265,3.0388262508552826,3.4863304876362013
245,8,1.9517477138706127,13.47373920379617,3.5370465727770433
246,2,0.8449434659294836,1.1474280307606954,1.6072008427403566
247,7,3.306538190052975,20.050910833216548,1.833948008411717
248,3,0.8628003318073534,6.143648520528696,8.252884264427252
249,5,0.6506149417500775,0.5165574798793182,1.2203111764188062
250,5,0.6460747437266648,0.8224489209206163,1.9703501312635125
251,4,2.5205229216183325,7.99593637409407,1.2586008685963226
252,7,1.3586299748512936,4.9842617824676,2.700215713011724
253,6,0.9204313885632458,5.896541037734612,6.960084051603778
254,3,0.34217219935418464,0.4397378801026985,3.7558171080423786
255,8,1.2969971113863645,5.023772562453458,2.986427334486382
256,8,0.6358205098866314,0.9914915217542944,2.452561683160479
257,3,1.039990607092177,5.3979987764464,4.990843457242774
258,3,2.471532822784028,6.534759663676996,1.069785863883042
259,4,1.127346516165581,4.547712549980588,3.5783115646074166
260,7,0.3369481081721281,0.16734206046288075,1.4739374969706154
261,6,0.4263575808297394,0.30066529574763656,1.6539993095782042
262,2,1.630032790630456,2.805632637687238,1.05593728011731
263,4,4.965149187568486,30.65103368761297,1.2433131325274895
264,2,2.9295939616103,14.273865933311596,1.6631321146037512
265,2,2.1497706383066464,5.665363916820616,1.2258675761390918
266,3,1.21262277847763,4.621920954957633,3.143193153880647
267,5,0.33368489159617265,0.13516403387626447,1.2139143848080245
268,4,0.8980504174412384,0.855539100931517,1.060812002421233
269,4,1.9913329852773975,10.529508508767812,2.65534114255715
270,2,1.5438800547107856,2.5155205339076305,1.0553603010892956
271,7,1.900076548057867,8.91918755951751,2.4704900062149537
272,8,1.241235472729065,2.4951023501924703,1.6194964787613628
273,4,1.4908259160981583,7.470794292392953,3.3613436150810356
274,2,0.23098171185221644,0.0713539339303565,1.3374043473433985
275,3,0.7397219124529023,2.2721741050304214,4.152452167388425
276,5,1.1782602143686591,3.4395306154029104,2.477517625174992
277,6,2.984157329129361,15.328449891037119,1.721293015064626
278,7,1.50960561887831,8.65363304642157,3.7972699100646543
279,5,3.0827242993347186,12.666843044425168,1.3329044496037623
280,6,2.5177185961237134,19.59278603449789,3.090877694391863
281,7,1.8089527539186068,6.891820445705215,2.106102510731748
282,4,1.6993139577310274,3.5729542592772345,1.2373147985419677
283,6,2.1510091400549625,14.748313921894272,3.1875562803044333
284,8,1.1422188219784601,3.620703864018653,2.7752005999967264
285,6,2.0133993043286926,9.961704450684481,2.4573885153828012
286,8,1.18130488690357,4.002815003624712,2.868411914737171
287,5,2.196167632338469,8.130807116640678,1.6857869423575558
288,3,0.6516190203681985,0.6779821398977837,1.5967272906634746
289,5,1.9164960605949974,7.548605171037643,2.0551846542696843
290,4,0.33681649040192474,0.14113902991940763,1.2441147402737625
291,7,3.4084884461932297,16.37485752526338,1.409463642335586
292,3,4.166005755249202,20.695932846246794,1.1924639962151415
293,3,0.7982774888123216,1.171419049761687,1.8382497575457961
294,3,1.9603805333487196,12.895933810220594,3.3556142715578274
295,6,0.8104664752311741,0.7838219626579133,1.1932936184932836
296,4,1.8651494955178605,11.5042356046885,3.3069716602366848
297,8,1.3383760780938239,6.4348975849584225,3.5924051326541613
298,5,0.4969194407118602,0.6588246719877517,2.6680740507019545
299,7,1.7280115841343622,4.817922715608826,1.6134909362060992
300,2,0.17251795197044298,0.030316834001923042,1.0186271750554186
301,3,1.646027312605613,3.143080981147062,1.160062789074
302,2,0.8048152123632569,2.513769837514644,3.88090630151095
303,7,2.128428088419781,9.470332680065184,2.0904860426596334
304,2,4.077164626214088,19.812249159490715,1.1918381584205637
305,5,1.8022227340119592,7.028498173262924,2.1639419628285785
306,3,4.041646071613497,34.39047686683108,2.1053370769207715
307,6,1.0987303747001518,2.3873750769987567,1.9775997294536407
308,5,2.139693435992891,9.188190953259044,2.0069054094449066
309,5,0.4531643239178691,0.4759227304302067,2.3175281791757762
310,5,0.479350402764397,0.3224038133468091,1.4031172913773724
311,3,4.241264765520491,18.320324327480147,1.0184562755457063
312,8,1.0576134972415074,6.447219089705575,5.763926834924035
313,7,2.4323759347799454,14.68289145631545,2.481705209247451
