L,N,sample,delta,source_mass_per_site,Hminus1_tail_per_site,tail_over_delta,tail_fraction_of_total_Hminus1
32,1024,6,0.27,0.00015894612455862232,0.0010088041501137646,0.0037363116670880167,0.01241082076513603
32,1024,6,0.4,0.0008652285156086177,0.002903101800340655,0.007257754500851637,0.035715432081547684
32,1024,7,0.08,2.2971086788025844e-06,5.054744358847276e-05,0.0006318430448559094,0.0006798036642255906
32,1024,7,0.12,7.819519733347987e-06,0.00011247551860487195,0.0009372959883739329,0.0015126634356777318
32,1024,7,0.18,4.248026278738983e-05,0.000305442850144568,0.0016969047230253778,0.00410784708382636
32,1024,7,0.27,0.0002399696115650197,0.0012031885143320583,0.004456253756785401,0.016181470371799487
32,1024,7,0.4,0.00044796936413994286,0.001770439086135836,0.00442609771533959,0.023810323383353354
48,2304,0,0.08,1.790494440029855e-05,0.0003883165377003111,0.004853956721253889,0.004762872595476792
48,2304,0,0.12,7.886869297533486e-05,0.001010911818302933,0.008424265152524441,0.012399276694093773
48,2304,0,0.18,0.00011917339008216304,0.0012444623496591144,0.006913679720328413,0.015263876363330337
48,2304,0,0.27,0.0002348940091926904,0.0017445975312794055,0.006461472338071872,0.021398253654290572
48,2304,0,0.4,0.0006440685370915907,0.002934150287809835,0.007335375719524587,0.035988639782334485
48,2304,1,0.08,9.96630400775403e-06,0.0003302900266527032,0.00412862533315879,0.004055957846113055
48,2304,1,0.12,3.086987859973374e-05,0.0005462613447597813,0.004552177872998177,0.006708083225402381
48,2304,1,0.18,6.0502987165643044e-05,0.0007301668263282896,0.004056482368490498,0.008966440489381505
48,2304,1,0.27,0.00020326414915920873,0.0013189576162034376,0.00488502820816088,0.016196784826797074
48,2304,1,0.4,0.0005875135101930664,0.002428481850327289,0.006071204625818223,0.02982173005585515
48,2304,2,0.08,5.2578068215653595e-05,0.0009043621604766501,0.011304527005958126,0.011923335125142737
48,2304,2,0.12,6.684877733080637e-05,0.001048235602935572,0.008735296691129766,0.013820198290162296
48,2304,2,0.18,0.0002230582662393422,0.0019571728327565426,0.010873182404203015,0.025803852264762808
48,2304,2,0.27,0.00034092890544549327,0.0025015706348766463,0.00926507642546906,0.032981327970566326
48,2304,2,0.4,0.0005257934612298408,0.0030226571750886786,0.007556642937721696,0.03985146221509794
48,2304,3,0.08,1.8758466116907434e-05,0.0004108365020937187,0.005135456276171483,0.005137538348712018
48,2304,3,0.12,6.0280479578760275e-05,0.0008544593874983618,0.007120494895819681,0.01068507264646223
48,2304,3,0.18,0.00011898158497310176,0.0011928571053024084,0.006626983918346713,0.014916759080055535
48,2304,3,0.27,0.0003661707634378007,0.0021807266852935376,0.008076765501087177,0.02727013524031872
48,2304,3,0.4,0.000882866876192673,0.0035933407170419523,0.00898335179260488,0.044934969603991334
48,2304,4,0.08,2.124746255813735e-05,0.0005735048655628378,0.007168810819535473,0.007115757327529717
48,2304,4,0.12,3.203610635996198e-05,0.00068797195642255,0.005733099636854583,0.008536006900733663
48,2304,4,0.18,0.00015921733134531275,0.001422728645175913,0.007904048028755072,0.017652495017738756
48,2304,4,0.27,0.0002719638918625175,0.0019560425462168485,0.007244602023025365,0.02426958325374029
48,2304,4,0.4,0.0004897577413332473,0.0025705451552844416,0.006426362888211103,0.03189401977699024
48,2304,5,0.08,1.0658726388509291e-05,0.000313794700769088,0.0039224337596136,0.004298601811525804
48,2304,5,0.12,3.5892941081588154e-05,0.0005886776421159777,0.0049056470176331475,0.00806416033349968
48,2304,5,0.18,5.892958611413832e-05,0.0007300127041581371,0.004055626134211873,0.010000277011816727
48,2304,5,0.27,0.0002557203921996175,0.0015966361205961802,0.005913467113319185,0.021871952915459746
48,2304,5,0.4,0.00045686730435080006,0.0021635542295166815,0.005408885573791704,0.029638034382162816
48,2304,6,0.08,1.9670441457495915e-05,0.0005960249946475318,0.007450312433094147,0.007843874149047211
48,2304,6,0.12,6.789999092475352e-05,0.0010870075811158456,0.009058396509298714,0.014305357563695973
48,2304,6,0.18,9.485068390072673e-05,0.0012451779078104892,0.006917655043391607,0.016386928215678706
