L,N,sample,time,heat_correlation,scaled_t2_heat
32,1024,5,32.0,1.2397675209593481e-05,0.013501068303247302
32,1024,5,64.0,2.557433505726108e-06,0.010805156561692807
32,1024,6,0.5,0.034548818914107216,0.07773484255674123
32,1024,6,1.0,0.008160750223964352,0.03264300089585741
32,1024,6,2.0,0.0016499197374019062,0.014849277636617156
32,1024,6,4.0,0.00040852423480321795,0.010213105870080449
32,1024,6,8.0,9.221779491868342e-05,0.007469641388413357
32,1024,6,16.0,1.5281859253540967e-05,0.0044164573242733395
32,1024,6,32.0,3.022585953925125e-06,0.003291596103824461
32,1024,6,64.0,4.325504439927224e-07,0.0018275256258692522
32,1024,7,0.5,0.031070313256909867,0.0699082048280472
32,1024,7,1.0,0.0074157015386026315,0.029662806154410526
32,1024,7,2.0,0.0015067687615613022,0.01356091885405172
32,1024,7,4.0,0.0003215185041508231,0.008037962603770578
32,1024,7,8.0,6.906703432548995e-05,0.005594429780364687
32,1024,7,16.0,1.1003979888848876e-05,0.0031801501878773253
32,1024,7,32.0,1.1409000355349057e-06,0.0012424401386975123
32,1024,7,64.0,1.4423823477879468e-07,0.0006094065419404075
48,2304,0,0.5,0.03437832393451578,0.0773512288526605
48,2304,0,1.0,0.008727253112712528,0.03490901245085011
48,2304,0,2.0,0.0020528366033732964,0.01847552943035967
48,2304,0,4.0,0.0004836057810260311,0.012090144525650777
48,2304,0,8.0,0.00011191449987650809,0.009065074489997155
48,2304,0,16.0,2.7969517450961334e-05,0.008083190543327826
48,2304,0,32.0,6.6929150041378535e-06,0.007288584439506122
48,2304,0,64.0,1.2594873678798576e-06,0.0053213341292923984
48,2304,1,0.5,0.03491847342833901,0.07856656521376276
48,2304,1,1.0,0.008783364617075169,0.035133458468300675
48,2304,1,2.0,0.0019058578928210666,0.0171527210353896
48,2304,1,4.0,0.00039943192268412193,0.009985798067103048
48,2304,1,8.0,8.219589945952388e-05,0.0066578678562214345
48,2304,1,16.0,1.7069068939887953e-05,0.004932960923627618
48,2304,1,32.0,4.627715832459792e-06,0.005039582541548714
48,2304,1,64.0,1.5292401790541397e-06,0.00646103975650374
48,2304,2,0.5,0.03215882494824914,0.07235735613356056
48,2304,2,1.0,0.00832888570331106,0.03331554281324424
48,2304,2,2.0,0.0018756543454810548,0.016880889109329493
48,2304,2,4.0,0.0004403106724380852,0.01100776681095213
48,2304,2,8.0,0.00012405812661302388,0.010048708255654935
48,2304,2,16.0,3.6542205894526374e-05,0.010560697503518122
48,2304,2,32.0,9.074900428479958e-06,0.009882566566614674
48,2304,2,64.0,1.8773842894004336e-06,0.007931948622716832
48,2304,3,0.5,0.03400907226382455,0.07652041259360523
48,2304,3,1.0,0.0086964978025048,0.0347859912100192
48,2304,3,2.0,0.0020880170957793074,0.018792153862013765
